periodo,tipo_entidad,entidad,clasificadora,rating_letra,rating_ordinal,link_pdf
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMCP LIMA,JCR Latino America,C+,4,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=10&numVersion=1
2026 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMCP LIMA,Microrate,C+,4,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000410&codPeriodo=202601&numArchivo=5&numVersion=1
2026 - SEPTIEMBRE,Banco,COFIDE,Apoyo y Asociados Internacionales,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=23&numVersion=1
2026 - SEPTIEMBRE,Banco,COFIDE,Moodys Local PE Clasificadora de Riesgo,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=23&numVersion=1
2026 - SEPTIEMBRE,Banco,COMPARTAMOS BANCO,Apoyo y Asociados Internacionales,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=32&numVersion=1
2026 - SEPTIEMBRE,Banco,COMPARTAMOS BANCO,JCR Latino America,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=4&numVersion=1
2026 - SEPTIEMBRE,Banco,COMPARTAMOS BANCO,Moodys Local PE Clasificadora de Riesgo,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=50&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CENCOSUD SCOTIA,Apoyo y Asociados Internacionales,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=45&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CENCOSUD SCOTIA,Moodys Local PE Clasificadora de Riesgo,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=19&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC DEL CENTRO,JCR Latino America,D+,1,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=11&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC DEL CENTRO,PCR (Pacific Credit Rating),D,0,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=9&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC INCASUR,Apoyo y Asociados Internacionales,C-,2,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=9&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC INCASUR,Moodys Local PE Clasificadora de Riesgo,C-,2,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=51&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,JCR Latino America,B-,5,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=14&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,Microrate,C+,4,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000410&codPeriodo=202601&numArchivo=6&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,Apoyo y Asociados Internacionales,C,3,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=34&numVersion=1
2026 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,JCR Latino America,C,3,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=12&numVersion=1
2026 - SEPTIEMBRE,Seguros,Crecer Seguros,Moodys Local PE Clasificadora de Riesgo,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=27&numVersion=1
2026 - SEPTIEMBRE,Seguros,Crecer Seguros,PCR (Pacific Credit Rating),A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=3&numVersion=1
2026 - SEPTIEMBRE,Cooperativa de Ahorro y Crédito - Nivel 2 B,EFIDE,JCR Latino America,B,6,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=001196&codPeriodo=202601&numArchivo=23&numVersion=1
2026 - SEPTIEMBRE,Empresa de Créditos,EMP.CRED.SANTANDER,Apoyo y Asociados Internacionales,A,9,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=31&numVersion=1
2026 - SEPTIEMBRE,Empresa de Créditos,EMP.CRED.SANTANDER,Moodys Local PE Clasificadora de Riesgo,A-,8,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=38&numVersion=1
2026 - SEPTIEMBRE,Empresa de Créditos,EMP.CRED.VIVELA,PCR (Pacific Credit Rating),B+,7,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000409&codPeriodo=202601&numArchivo=17&numVersion=1
2026 - SEPTIEMBRE,Financiera,FINANC. PROEMPRESA,Apoyo y Asociados Internacionales,C,3,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000408&codPeriodo=202601&numArchivo=36&numVersion=1
2026 - SEPTIEMBRE,Financiera,FINANC. PROEMPRESA,Moodys Local PE Clasificadora de Riesgo,C,3,https://extranet.sbs.gob.pe/iece/descargar?codClasificadora=000406&codPeriodo=202601&numArchivo=17&numVersion=1
