periodo,tipo_entidad,entidad,clasificadora,rating_letra,rating_ordinal
2012 - SEPTIEMBRE,Banco,BBVA,Apoyo y Asociados Internacionales,A+,10.0
2012 - SEPTIEMBRE,Banco,BBVA,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2012 - SEPTIEMBRE,Banco,BBVA,PCR (Pacific Credit Rating),A+,10.0
2012 - SEPTIEMBRE,Banco,BN. SANTANDER CONS.,Apoyo y Asociados Internacionales,A,9.0
2012 - SEPTIEMBRE,Banco,BN. SANTANDER CONS.,Class y Asociados S.A.,A,9.0
2012 - SEPTIEMBRE,Seguros,BNP Paribas Cardif,Class y Asociados S.A.,A,9.0
2012 - SEPTIEMBRE,Seguros,BNP Paribas Cardif,PCR (Pacific Credit Rating),A,9.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CAJA LOS LIBERTADORE,Class y Asociados S.A.,C-,2.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CAJA LOS LIBERTADORE,PCR (Pacific Credit Rating),D,0.0
2012 - SEPTIEMBRE,Seguros,Cesce,Class y Asociados S.A.,A,9.0
2012 - SEPTIEMBRE,Seguros,Cesce,PCR (Pacific Credit Rating),A,9.0
2012 - SEPTIEMBRE,Seguros,Chubb Perú,Apoyo y Asociados Internacionales,A,9.0
2012 - SEPTIEMBRE,Seguros,Chubb Perú,PCR (Pacific Credit Rating),A,9.0
2012 - SEPTIEMBRE,Banco,CITIBANK DEL PERU,Apoyo y Asociados Internacionales,A,9.0
2012 - SEPTIEMBRE,Banco,CITIBANK DEL PERU,PCR (Pacific Credit Rating),A+,10.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,Apoyo y Asociados Internacionales,B+,7.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC AREQUIPA,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Class y Asociados S.A.,B,6.0
