periodo,seccion,indicador,entidad,valor
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Cencosud,86.96994195263103
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. ICBC,144.08791712445964
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Continental,85.51224360203537
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. De Comercio,88.3226322412137
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. De Crédito del Perú (con sucursales en el exterior),81.63044966585032
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Financiero,89.39960564576573
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Interamericano de Finanzas,85.33419407400946
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Scotiabank Perú (con Sucursales en el Exterior),83.42073216404935
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Citibank,78.64752936764387
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Interbank (con sucursales en el exterior),86.38289611927678
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Mibanco,93.49543220150144
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. GNB,90.68337558963596
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Falabella Perú,83.95434055557803
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Santander Perú,88.13996854531267
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Ripley,87.31077170999396
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Azteca Perú,98.7738356218362
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Deutsche Bank Perú,89.7847808883979
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Cencosud,85.51007055637737
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. ICBC,98.26906886595502
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Continental,8.319340281807769
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. De Comercio,12.988727081266985
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. De Crédito del Perú (con sucursales en el exterior),8.911618955448175
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Financiero,11.78575655484428
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Interamericano de Finanzas,8.403673521361647
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Scotiabank Perú (con Sucursales en el Exterior),7.4853877122597
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Citibank,7.66869887444635
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Interbank (con sucursales en el exterior),11.344208799382066
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Mibanco,17.82300801189388
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. GNB,7.9581106797028305
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Falabella Perú,24.26236343119945
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Santander Perú,5.4899907503422005
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Ripley,33.859170688569975
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Azteca Perú,50.85674733824773
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Deutsche Bank Perú,11.615556591651675
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Cencosud,44.437600255406544
2015-04,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. ICBC,2.7693824430816316
